paper_key,paper_number,paper_kind,structure_role,file_name,title,tex_path,pdf_path,pdf_exists,doi_count,doi_list,ids_cited_count,ids_cited,ids_in_master_count,missing_ids_count,missing_ids,equation_like_count,theorem_env_count,theorem_word_count,wolfram_status_summary,isabelle_theory_count,isabelle_theories,coverage_status
companion01,1,companion,zenodo_main_structure,companion01_the_trawin_zero_point_converrgence.tex,"Trawin Zero Point Convergence: Matter as a Deficit Field [0.6em] TZPID Companion Spine Series, Paper C1 of XXVII \normalsize A deficit-field reading of mass within the TZPID program",D:\TZPIDProof\peer_review\tex\companion01_the_trawin_zero_point_converrgence.tex,D:\TZPIDProof\peer_review\pdf\companion01_the_trawin_zero_point_converrgence.pdf,yes,0,,9,ID0000; ID0005; ID0151; ID0456; ID0484; ID10041; ID10053; ID1807; ID9142,9,0,,2,0,31,1/1 pass:6; 2/2 pass:2; 4/4 pass:1,4,TZPID_Meta_Foundation_Model; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion02,2,companion,zenodo_main_structure,companion02_trawin_zero_point_quantum_field_theory.tex,"Quantum Field Theory on a Trawinistic Manifold [0.6em] TZPID Companion Spine Series, Paper C2 of XXVII \normalsize Propagators and Green's functions under metric degeneracy",D:\TZPIDProof\peer_review\tex\companion02_trawin_zero_point_quantum_field_theory.tex,D:\TZPIDProof\peer_review\pdf\companion02_trawin_zero_point_quantum_field_theory.pdf,yes,0,,11,ID0001; ID0002; ID0004; ID0019; ID0230; ID0481; ID1805; ID9036; ID9037; ID9122; ID9123,11,0,,2,0,27,1/1 pass:6; 3/3 pass:3; 4/4 pass:1; 5/5 pass:1,7,TZPID_Meta_Foundation_Model; TZPID_QuantumMatter_ProbabilityCarriers; TZPID_QuantumOpenSystem_Carriers; TZPID_Quantum_Open_System_Model; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion03,3,companion,zenodo_main_structure,companion03_tzp_type_c.tex,"The TZP Type-C Framework: Negative-Foundation Convergence [0.6em] TZPID Companion Spine Series, Paper C3 of XXVII \normalsize Avoiding runaway divergence in oscillatory scaling",D:\TZPIDProof\peer_review\tex\companion03_tzp_type_c.tex,D:\TZPIDProof\peer_review\pdf\companion03_tzp_type_c.pdf,yes,0,,9,ID0000; ID10165; ID6489; ID6733; ID9145; ID9146; ID9152; ID9153; ID9197,9,0,,2,0,32,1/1 pass:6; 2/2 pass:2; 6/6 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion04,4,companion,zenodo_main_structure,companion04_dimensional_accessibility.tex,"Dimensional Accessibility: Harmonic Channels to Extra-Dimensional Modes [0.6em] TZPID Companion Spine Series, Paper C4 of XXVII \normalsize Kaluza--Klein decomposition of gyromagnetic-acoustic systems",D:\TZPIDProof\peer_review\tex\companion04_dimensional_accessibility.tex,D:\TZPIDProof\peer_review\pdf\companion04_dimensional_accessibility.pdf,yes,0,,7,ID1917; ID1952; ID1953; ID3365; ID3614; ID9616; ID9645,7,0,,2,0,27,1/1 pass:7,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion05,5,companion,zenodo_main_structure,companion05_complete_tzpqvs_synthesis.tex,"The Complete TZPQVS Engineering Synthesis [0.6em] TZPID Companion Spine Series, Paper C5 of XXVII \normalsize Neutrino piezoelectric functors, Poynting flux topology, and permeable-sphere Green's functions",D:\TZPIDProof\peer_review\tex\companion05_complete_tzpqvs_synthesis.tex,D:\TZPIDProof\peer_review\pdf\companion05_complete_tzpqvs_synthesis.pdf,yes,0,,7,ID10146; ID1874; ID3295; ID3330; ID9631; ID9666; ID9806,7,0,,2,0,33,1/1 pass:6; 2/2 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion06,6,companion,zenodo_main_structure,companion06_hms_tzp.tex,"TZP-HMS: Operator Calibration Against DESI-Aligned Clustering [0.6em] TZPID Companion Spine Series, Paper C6 of XXVII \normalsize Hyperspherical diagnostics and the two-point correlation slope",D:\TZPIDProof\peer_review\tex\companion06_hms_tzp.tex,D:\TZPIDProof\peer_review\pdf\companion06_hms_tzp.pdf,yes,0,,7,ID0421; ID0429; ID3323; ID3345; ID6366; ID9145; ID9146,7,0,,2,0,29,1/1 pass:4; 2/2 pass:3,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion07,7,companion,zenodo_main_structure,companion07_well_wall_wave_theory.tex,"Well-Wall-Wave Theory: Orbital Structure from a Composite Field [0.6em] TZPID Companion Spine Series, Paper C7 of XXVII \normalsize Gaussian wells, Bessel waves, and derived stable shells",D:\TZPIDProof\peer_review\tex\companion07_well_wall_wave_theory.tex,D:\TZPIDProof\peer_review\pdf\companion07_well_wall_wave_theory.pdf,yes,0,,9,ID0023; ID0148; ID0201; ID0252; ID0261; ID1863; ID6489; ID7732; ID9516,9,0,,2,0,26,1/1 pass:6; 3/3 pass:2; 6/6 pass:1,6,TZPID_GyroWave_Sky; TZPID_PhaseLockingResonance_Focus; TZPID_PhaseLockingResonance_KuramotoFiniteN; TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion08,8,companion,zenodo_main_structure,companion08_www.tex,"WWW Updated: Scale-Dependent Phase Law and Coherence Breaking [0.6em] TZPID Companion Spine Series, Paper C8 of XXVII \normalsize The second-generation Well-Wall-Wave formulation",D:\TZPIDProof\peer_review\tex\companion08_www.tex,D:\TZPIDProof\peer_review\pdf\companion08_www.pdf,yes,0,,7,ID3339; ID3340; ID6366; ID6430; ID7842; ID9518; ID9955,7,0,,2,0,21,1/1 pass:6; 2/2 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion09,9,companion,zenodo_main_structure,companion09_delta_function_in_the_bell_curve.tex,"The Delta Function in the Bell Curve: Localized Wideband Injection [0.6em] TZPID Companion Spine Series, Paper C9 of XXVII \normalsize Super-narrow Gaussians as frequency-injection mechanisms",D:\TZPIDProof\peer_review\tex\companion09_delta_function_in_the_bell_curve.tex,D:\TZPIDProof\peer_review\pdf\companion09_delta_function_in_the_bell_curve.pdf,yes,0,,7,ID2684; ID3344; ID3347; ID6170; ID6278; ID9622; ID9711,7,0,,2,0,24,1/1 pass:7,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
companion10,10,companion,zenodo_main_structure,companion10_universal_interaction_kernel.tex,"The Universal Interaction Kernel [0.6em] TZPID Companion Spine Series, Paper C10 of XXVII \normalsize Gaussian radial kernels as the common form of smooth decaying interaction",D:\TZPIDProof\peer_review\tex\companion10_universal_interaction_kernel.tex,D:\TZPIDProof\peer_review\pdf\companion10_universal_interaction_kernel.pdf,yes,0,,7,ID0412; ID0481; ID10136; ID3362; ID6732; ID9337; ID9591,7,0,,2,0,37,1/1 pass:6; 3/3 pass:1,3,TZPID_ZenodoSpines_Computational_Checks; TZPID_ZenodoSpines_Focus; TZPID_Zenodo_MainStructures_Coverage,covered
