pillar,id,role,obligation_role,title,canonical_equation,wolfram_status
bessel_residual_tap,TAP-BESSEL-001,Hyperspherical Bessel enclosure lifts ordinary Bessel equation into d=4 radial modes,Core_Definition,Hyperspherical Bessel enclosure lifts ordinary Bessel equation into d=4 radial modes,x^2 y'' + x y' + (x^2 - nu^2)y = 0; nu = ell + (d-2)/2; d=4 => nu=ell+1,pass:hyperspherical_order_d4
bessel_residual_tap,TAP-BESSEL-002,Boundary quantization selects zeros J_{ell+1}(kR)=0,Core_Definition,Boundary quantization selects zeros J_{ell+1}(kR)=0,"k_{ell q}=j_{ell+1,q}/R",pass:bessel_boundary_quantization
bessel_residual_tap,TAP-BESSEL-003,Half-Bessel drop releases a finite resonant energy difference,Derived_Theorem_Obligation,Half-Bessel drop releases a finite resonant energy difference,"DeltaE_half = hbar v_s (j_{nu,q}-j_{nu-1/2,q})/R",pass:half_bessel_drop_fraction
bessel_residual_tap,TAP-BESSEL-004,Entropy-fold tensor is the residual source beyond ordinary mass-energy,Hypothesis_Only,Entropy-fold tensor is the residual source beyond ordinary mass-energy,Sigma_half = ell_P^2 (nabla_mu nabla_nu - g_mu_nu Box)(DeltaS_half/k_B),pass:entropy_residual_isolated
bessel_residual_tap,TAP-BESSEL-005,"Effective stress-energy adds matter, sound, and entropy-fold stress",Derived_Theorem_Obligation,"Effective stress-energy adds matter, sound, and entropy-fold stress",T_eff = T_matter + T_sound + c^4/(8 pi G ell_P^2) Sigma_half,pass:effective_source_decomposition
bessel_residual_tap,TAP-BESSEL-006,Causal accumulation kernel is normalized and past-directed,Core_Definition,Causal accumulation kernel is normalized and past-directed,"K(t,tau)=tau_dec^-1 exp(-(t-tau)/tau_dec) Theta(t-tau)",pass:kernel_normalization
bessel_residual_tap,TAP-BESSEL-007,"Accumulated curvature decomposes into matter, sound, and entropy-fold residual",Derived_Theorem_Obligation,"Accumulated curvature decomposes into matter, sound, and entropy-fold residual",G_acc = 8 pi G/c^4 int K T_eff d tau,pass:curvature_residual_decomposition
bessel_residual_tap,TAP-BESSEL-008,Frame-dragging residual is accumulated effective current,Derived_Theorem_Obligation,Frame-dragging residual is accumulated effective current,h_0a^acc = -4G/c^3 int G_R int K J_a^eff d tau dV',not_run:kernel_geometry_obligation
bessel_residual_tap,TAP-BESSEL-009,Planck-scaled gravitational charge preserves ordinary mass accounting,Core_Definition,Planck-scaled gravitational charge preserves ordinary mass accounting,q_g=m/m_P; alpha_G=q_g(X)q_g(Y),pass:planck_charge_coupling
bessel_residual_tap,TAP-BESSEL-010,Isotope-level gravitational charge subtracts binding energy,Core_Definition,Isotope-level gravitational charge subtracts binding energy,"q_g(Z,N)=(Z m_p + N m_n + Z m_e - E_bind/c^2)/m_P",pass:isotope_mass_accounting
bessel_residual_tap,TAP-BESSEL-011,Large-number smoothing turns particle charge sums into smooth source geometry,Derived_Theorem_Obligation,Large-number smoothing turns particle charge sums into smooth source geometry,Var(qbar)=sigma_q^2/N,pass:large_number_smoothing
bessel_residual_tap,TAP-BESSEL-012,Measurable residual prediction: subtract ordinary mass-energy and test for entropy-fold source,Falsifiability_Note,Measurable residual prediction: subtract ordinary mass-energy and test for entropy-fold source,DeltaG_res = G_acc - G_matter = G_sound + ell_P^-2 int K Sigma_half d tau,pass:ordinary_mass_energy_residual
