queue_index,proposed_id,source_file,line_number,source_type,score,readiness,readiness_reason,domain_family,semantic_kind,semantic_context,duplicate_status,wolfram_status,candidate_equation,wolfram_form_hint,formation_method,formation_inputs,formation_note,source_tag
1,NEXT+0001,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,6,line,60,quarantine,wolfram/comment divider,geometry_topology,Topos,(* Define the fundamental ∞-topos category *),new_or_nonexact,file_has_parse_clean_wolfram,(* ============================================================ *),^(* ============================================================ *),Phone2 corpus extraction,UnifiedFieldTopology- Comprehensive Theory of Everything.txt,"Extracted from D:\Phone2 line 6; staged only, not minted.",PHONE2
2,NEXT+0002,https---orcid.txt,44,line,21,review,large mixed prose/equation block,field_topology_mhd,,,new_or_nonexact,needs_wolfram_translation,"u_m = \frac{1}{2\mu_0} B^2,\quad U_{\text{total}} = \int_0^R\!\!\int_0^\pi\!\!\int_0^{2\pi} u_m r^2 \sin\theta\, dr\, d\theta\, d\phi \]. → Allows **analytic energy tracking** under deformation. --- ### 5. Field Solution & Topology Magnetic potential framework: - Scalar: \( \nabla^2 \Phi_M = \rho_M = \nabla \cdot M \) - Vector: \( \nabla^2 A = -\mu_0 J_M = -\mu_0 \nabla \times M \) Topological invariants: \[ H_M = \int_V A \cdot B \, dV,\quad L = \frac{1}{4\pi}\oint\!\oint\frac{(dr_1\times dr_2)\cdot(r_1 - r_2)}{|r_1 - r_2|^3} \]. → **Helicity conservation** implies **knot-stable field structure** under evolution. --- ### 6. Boundary Conditions Spherical field decomposition: \[ B_r,\ B_\theta,\ B_\phi \text{ in terms of } A_r,\ A_\theta,\ A_\phi \] Boundary oscillations tessellated as alternating domains: \[ B_{\text{boundary}}(\theta,\phi,t) = B_{\text{amp}}\cdot \text{Sign}[\sin(n_\theta\theta)\sin(n_\phi\phi)]e^{i\omega t}\hat{r} \] → Creates **multi-mode oscillatory cages** with tunable harmonics","^u_m = (1)/(2mu_0) B^2,quad U_{text{total}} = int_0^R!!int_0^Pi!!int_0^{2Pi} u_m r^2 Sintheta, dr, dtheta, dphi ]. → Allows **analytic energy tracking** under deformation. --- ### 5. Field Solution & Topology Magnetic potential framework: - Scalar: ( nabla^2 Phi_M = rho_M = nabla cdot M ) - Vector: ( nabla^2 A = -mu_0 J_M = -mu_0 nabla times M ) Topological invariants: [ H_M = int_V A cdot B , dV,quad L = (1)/(4Pi)oint!oint((dr_1times dr_2)cdot(r_1 - r_2))/(|r_1 - r_2|^3) ]. → **Helicity conserv",Phone2 corpus extraction,https---orcid.txt,"Extracted from D:\Phone2 line 44; staged only, not minted.",PHONE2
3,NEXT+0003,https---orcid.txt,1,display_bracket,16,id_ready,compact mathematical candidate,quantum_entanglement,,,possible_master_duplicate,needs_wolfram_translation,"\chi(\omega) = \frac{\partial M}{\partial H}\Big|_\omega,\quad \omega^2 \chi(\omega) = \omega_0^2 + i\gamma\omega - k^2 v_A^2 where 𝑣 𝐴 = 𝐵 / 𝜇 0 𝜌 v A ​ =B/ μ 0 ​ ρ ​ (Alfvén speed) dynamic_tensor . → Suggests resonant field breathing and possible magnetoacoustic coupling. 4. Energy and Density Formulation Magnetic energy density: u_m = \frac{1}{2\mu_0} B^2,\quad U_{\text{total}} = \int_0^R\!\!\int_0^\pi\!\!\int_0^{2\pi} u_m r^2 \sin\theta\, dr\, d\theta\, d\phi","^chi(omega) = (partial M)/(partial H)Big|_omega,quad omega^2 chi(omega) = omega_0^2 + igammaomega - k^2 v_A^2 where 𝑣 𝐴 = 𝐵 / 𝜇 0 𝜌 v A ​ =B/ mu 0 ​ ρ ​ (Alfvén speed) dynamic_tensor . → Suggests resonant field breathing and possible magnetoacoustic coupling. 4. Energy and Density Formulation Magnetic energy density: u_m = (1)/(2mu_0) B^2,quad U_{text{total}} = int_0^R!!int_0^Pi!!int_0^{2Pi} u_m r^2 Sintheta, dr, dtheta, dphi",Phone2 corpus extraction,https---orcid.txt,"Extracted from D:\Phone2 line 1; staged only, not minted.",PHONE2
4,NEXT+0004,UnifiedFieldOptimizer.txt,504,line,10,id_ready,compact mathematical candidate,optimization_computation,Functor,𝔊_grav = Functor[,possible_master_duplicate,needs_wolfram_translation,"Fisher_GW[h₊,h_×] = (2/S_n(f)) ∫_{-∞}^∞ (∂h/∂λⁱ)(∂h*/∂λʲ) df,","^Fisher_GW[h₊,h_×] = (2/S_n(f)) ∫_{-∞}^∞ (∂h/∂lambdaⁱ)(∂h*/∂lambdaʲ) df,",Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 504; staged only, not minted.",PHONE2
5,NEXT+0005,https---orcid.txt,1,line,10,id_ready,compact mathematical candidate,field_topology_mhd,,,new_or_nonexact,needs_wolfram_translation,"https://orcid.org/0009-0001-4630-3715B_{\text{dipole}}(r) = \frac{\mu_0}{4\pi} \Big[\frac{3(r-r_0)(\mu\cdot(r-r_0))}{|r-r_0|^5} - \frac{\mu}{|r-r_0|^3}\Big] \]. → This symmetry forms a **magnetic quadrupole-like pocket**; ideal for **energy minima trapping**. --- ### 3. Dynamic Field Behavior Susceptibility varies with driving frequency: \[ \chi(\omega) = \frac{\partial M}{\partial H}\Big|_\omega,\quad \omega^2 \chi(\omega) = \omega_0^2 + i\gamma\omega - k^2 v_A^2","^https://orcid.org/0009-0001-4630-3715B_{text{dipole}}(r) = (mu_0)/(4Pi) Big[(3(r-r_0)(mucdot(r-r_0)))/(|r-r_0|^5) - (mu)/(|r-r_0|^3)Big] ]. → This symmetry forms a **magnetic quadrupole-like pocket**; ideal for **energy minima trapping**. --- ### 3. Dynamic Field Behavior Susceptibility varies with driving frequency: [ chi(omega) = (partial M)/(partial H)Big|_omega,quad omega^2 chi(omega) = omega_0^2 + igammaomega - k^2 v_A^2",Phone2 corpus extraction,https---orcid.txt,"Extracted from D:\Phone2 line 1; staged only, not minted.",PHONE2
6,NEXT+0006,latext.txt,127,latex_equation,10,id_ready,compact mathematical candidate,field_topology_mhd,SemanticNote,\begin{proof},new_or_nonexact,file_has_parse_clean_wolfram,"\mathcal{T}_{\text{coupling}} = \int_{\mathcal{V}} \Psi_{\text{solar}} \cdot \nabla^2 h_{\mu\nu}^{\text{TT}} \, d^3x","^mathcal{T}_{text{coupling}} = int_{mathcal{V}} Psi_{text{solar}} cdot nabla^2 h_{munu}^{text{TT}} , d^3x",Phone2 corpus extraction,latext.txt,"Extracted from D:\Phone2 line 127; staged only, not minted.",PHONE2
7,NEXT+0007,AntipodalEntanglementProtocol.txt,132,line,9,id_ready,compact mathematical candidate,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,"ψ ∈ Γ[L] | ∇_X̄ ψ = 0, ∀X̄ ∈ 𝒫^(0,1)","^ψ ∈ Γ[L] | ∇_X̄ ψ = 0, ∀X̄ ∈ 𝒫^(0,1)",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 132; staged only, not minted.",PHONE2
8,NEXT+0008,AntipodalEntanglementProtocol.txt,169,line,9,id_ready,compact mathematical candidate,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,JumpMeasure → ν[dy] = ∑_{k=1}^{76800} (,^JumpMeasure → ν[dy] = ∑_{k=1}^{76800} (,Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 169; staged only, not minted.",PHONE2
9,NEXT+0009,UnificationComparison.txt,661,line,9,id_ready,compact mathematical candidate,general_math,Mechanism,"Mechanism -> ModifiedBianchi[dH = Tr(F∧F) - Tr(R∧R)],",new_or_nonexact,needs_wolfram_translation,"optical_theorem = 2*Im[T(s,t=0)] = ∑_n |T(s->n)|²;","^optical_theorem = 2*Im[T(s,t=0)] = ∑_n |T(s->n)|²;",Phone2 corpus extraction,UnificationComparison.txt,"Extracted from D:\Phone2 line 661; staged only, not minted.",PHONE2
10,NEXT+0010,UnifiedFieldOptimizer.txt,391,line,9,id_ready,compact mathematical candidate,optimization_computation,Functor,𝔊_grav = Functor[,new_or_nonexact,needs_wolfram_translation,"Ψ_GW = ∑_{l=2}^∞ ∑_{m=-l}^l h^{lm} SphericalHarmonic[l,m,θ,φ],","^Ψ_GW = ∑_{l=2}^∞ ∑_{m=-l}^l h^{lm} SphericalHarmonic[l,m,theta,phi],",Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 391; staged only, not minted.",PHONE2
11,NEXT+0011,_KleisliCategoryNon-DeterministicComputationMonads.txt,160,line,9,id_ready,compact mathematical candidate,category_type_theory,SemanticNote,"Proof := ∀T,C: f[T] ⊆ C ⟺ T ⊆ g[C]",new_or_nonexact,file_has_parse_clean_wolfram,"Sum[x[i,c], {c, 1, NumCores}] == 1, ∀i,","^Sum[x[i,c], {c, 1, NumCores}] == 1, ∀i,",Phone2 corpus extraction,_KleisliCategoryNon-DeterministicComputationMonads.txt,"Extracted from D:\Phone2 line 160; staged only, not minted.",PHONE2
12,NEXT+0012,univision.txt,105,latex_equation,9,id_ready,compact mathematical candidate,signal_wave,Theorem,\begin{theorem}[TZP Vacuum Divergence],new_or_nonexact,needs_wolfram_translation,"\rho_{\text{vac}}(r,t) = \sum_{n=0}^{\infty} \sum_{i=1}^{N_{\TZP}} (-1)^n \Gamma\left(n+\tfrac{1}{2}\right) K_n\left(\frac{|r-r_{\TZP}^{(i)}|}{\xi}\right) e^{in(\omega_0 t + \theta_i)}","^rho_{text{vac}}(r,t) = sum_{n=0}^{infty} sum_{i=1}^{N_{TZP}} (-1)^n Gammaleft(n+tfrac{1}{2}right) K_nleft(frac{|r-r_{TZP}^{(i)}|}{xi}right) e^{in(omega_0 t + theta_i)}",Phone2 corpus extraction,univision.txt,"Extracted from D:\Phone2 line 105; staged only, not minted.",PHONE2
13,NEXT+0013,AntipodalEntanglement.txt,215,line,8,id_ready,compact mathematical candidate,quantum_entanglement,Protocol,(* Communication Protocol *),new_or_nonexact,file_has_parse_clean_wolfram,CorrelationMeasure := -∑_{i=1}^{76800} p_i Log₂[p_i],^CorrelationMeasure := -∑_{i=1}^{76800} p_i Log₂[p_i],Phone2 corpus extraction,AntipodalEntanglement.txt,"Extracted from D:\Phone2 line 215; staged only, not minted.",PHONE2
14,NEXT+0014,AntipodalEntanglementProtocol.txt,208,line,8,id_ready,compact mathematical candidate,quantum_entanglement,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,"f ∈ Domain[𝒜], ∫f dπ = 0","^f ∈ Domain[𝒜], ∫f dPi = 0",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 208; staged only, not minted.",PHONE2
15,NEXT+0015,AntipodalEntanglementProtocol.txt,298,line,8,id_ready,compact mathematical candidate,category_type_theory,Monad,(* Monad Laws Verification *),new_or_nonexact,file_has_parse_clean_wolfram,"Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]","^Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 298; staged only, not minted.",PHONE2
16,NEXT+0016,AntipodalEntanglementProtocol.txt,331,line,8,id_ready,compact mathematical candidate,quantum_entanglement,Invariant,(* Witten-Reshetikhin-Turaev Invariant *),new_or_nonexact,file_has_parse_clean_wolfram,"R = q^{H⊗H/2} ∑_{n≥0} (q^{n(n-1)/2}/[n]_q!) (q-q^{-1})^n E^n ⊗ F^n,","^R = q^{H⊗H/2} ∑_{n>=0} (q^{n(n-1)/2}/[n]_q!) (q-q^{-1})^n E^n ⊗ F^n,",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 331; staged only, not minted.",PHONE2
17,NEXT+0017,AntipodalEntanglementProtocol.txt,341,line,8,id_ready,compact mathematical candidate,quantum_entanglement,Invariant,(* Witten-Reshetikhin-Turaev Invariant *),new_or_nonexact,file_has_parse_clean_wolfram,"τ = ∑_{j=0}^{k+1} sin²[π(j+1)/(k+2)] q^{j(j+2)/4},","^τ = ∑_{j=0}^{k+1} sin²[Pi(j+1)/(k+2)] q^{j(j+2)/4},",Phone2 corpus extraction,AntipodalEntanglementProtocol.txt,"Extracted from D:\Phone2 line 341; staged only, not minted.",PHONE2
18,NEXT+0018,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,46,line,8,id_ready,compact mathematical candidate,protocol_systems,Theorem,Theorem[,new_or_nonexact,file_has_parse_clean_wolfram,"Statement → ∀ε>0, ∃N₀∈ℕ: ∀n≥N₀,","^Statement → ∀ε>0, ∃N₀∈ℕ: ∀n>=N₀,",Phone2 corpus extraction,BYOB-IFP Protocol- Hyper-Rigorous Patent Formalization via Higher-Order Type-Theoretic.txt,"Extracted from D:\Phone2 line 46; staged only, not minted.",PHONE2
19,NEXT+0019,QuantumP.txt,60,line,8,id_ready,compact mathematical candidate,quantum_entanglement,Protocol,## Quantum Entanglement Communication Protocol for Levitated Mass-Shell Interface,new_or_nonexact,file_has_parse_clean_wolfram,H_entangle = ∑_{k=1}^{153600} (,^H_entangle = ∑_{k=1}^{153600} (,Phone2 corpus extraction,QuantumP.txt,"Extracted from D:\Phone2 line 60; staged only, not minted.",PHONE2
20,NEXT+0020,UnificationComparison.txt,651,line,8,id_ready,compact mathematical candidate,general_math,Constraint,"Constraint -> Det[g] @ TZP = 0,",new_or_nonexact,needs_wolfram_translation,mixed = ∑_fermions (charges) = 0;,^mixed = ∑_fermions (charges) = 0;,Phone2 corpus extraction,UnificationComparison.txt,"Extracted from D:\Phone2 line 651; staged only, not minted.",PHONE2
21,NEXT+0021,UnifiedFieldOptimizer.txt,225,line,8,id_ready,compact mathematical candidate,field_topology_mhd,SemanticNote,"Gap[1] := ""Infinite-Order Phase Transition Proof"" → Module[",possible_master_duplicate,needs_wolfram_translation,H[φ] = ∫d^d x [|∇φ|² + V[φ]],^H[phi] = ∫d^d x [|∇phi|² + V[phi]],Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 225; staged only, not minted.",PHONE2
22,NEXT+0022,UnifiedFieldOptimizer.txt,231,line,8,id_ready,compact mathematical candidate,optimization_computation,SemanticNote,"Gap[1] := ""Infinite-Order Phase Transition Proof"" → Module[",new_or_nonexact,needs_wolfram_translation,"δ → Limit[φ/H^(1/δ), {T→T_c, H→0}]","^delta → Limit[phi/H^(1/delta), {T→T_c, H→0}]",Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 231; staged only, not minted.",PHONE2
23,NEXT+0023,UnifiedFieldOptimizer.txt,239,line,8,id_ready,compact mathematical candidate,optimization_computation,SemanticNote,"Gap[1] := ""Infinite-Order Phase Transition Proof"" → Module[",possible_master_duplicate,needs_wolfram_translation,"ChernNumber → C = (1/2π) ∫∫_BZ F_xy d²k,","^ChernNumber → C = (1/2Pi) ∫∫_BZ F_xy d²k,",Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 239; staged only, not minted.",PHONE2
24,NEXT+0024,UnifiedFieldOptimizer.txt,433,line,8,id_ready,compact mathematical candidate,field_topology_mhd,Functor,𝔊_grav = Functor[,possible_master_duplicate,needs_wolfram_translation,𝒯_coupling = ∫ Ψ_solar · ∇²h_μν d³x,^𝒯_coupling = ∫ Ψ_solar · ∇²h_muν d³x,Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 433; staged only, not minted.",PHONE2
25,NEXT+0025,UnifiedFieldOptimizer.txt,500,line,8,id_ready,compact mathematical candidate,optimization_computation,Functor,𝔊_grav = Functor[,possible_master_duplicate,needs_wolfram_translation,"Fisher_solar[θ,φ] = ∑_{i,j} (∂log[P_solar]/∂θⁱ)(∂log[P_solar]/∂θʲ) g_ij,","^Fisher_solar[theta,phi] = ∑_{i,j} (∂log[P_solar]/∂thetaⁱ)(∂log[P_solar]/∂thetaʲ) g_ij,",Phone2 corpus extraction,UnifiedFieldOptimizer.txt,"Extracted from D:\Phone2 line 500; staged only, not minted.",PHONE2
