"spine","id","title","role","obligation_role","canonical_equation","wolfram_check"
"Gravity as an Accumulated Force","ID7216","Incorporating the Accumulated-Force Gravity Correction: M_rm Acc: M_rm Acc (1)","Accumulated mass functional M_acc (source of the correction)","Core_Definition","M_{\rm acc}","grav_newtonian_recovery"
"Gravity as an Accumulated Force","ID7215","Incorporating the Accumulated-Force Gravity Correction: a_rm N","Newtonian acceleration baseline a_N","Core_Definition","\mathbf{a}_{\rm N}","grav_stress_vanishes"
"Gravity as an Accumulated Force","ID7214","Incorporating the Accumulated-Force Gravity Correction (1)","Accumulated-force modified acceleration a = a_N(1+alpha...)","Derived_Theorem_Obligation","\mathbf{a} = \mathbf{a}_{\rm N} \Big(1 + \alpha \frac{M_{\rm acc}}{M_\oplus^{(0)}}\Big),","grav_poisson_dim_balance"
"Gravity as an Accumulated Force","ID7311","III.5 Accumulated-Force Gravity: a Phenomenological Correction: δ T_ij","Accumulated stress correction delta T_ij","Derived_Theorem_Obligation","\delta T_{ij} = \alpha\, \frac{G M_{\rm acc}}{R^3} \hat n_i \hat n_j,",""
"Gravity as an Accumulated Force","ID7314","III.5 Accumulated-Force Gravity: a Phenomenological Correction: T_ij^rm Eff","Effective stress-energy T_ij^eff = T_ij^N + delta T_ij","Derived_Theorem_Obligation","T_{ij}^{\rm eff} = T_{ij}^{\rm N} + \delta T_{ij}.",""
"Gravity as an Accumulated Force","ID7577","Emergent Gravity Field: Φ(x,t)","Emergent gravity field Phi(x,t)","Derived_Theorem_Obligation","\Phi(x,t)",""
"Gravity as an Accumulated Force","ID1816","Matter Is the Memory of Space","Newtonian/Poisson limit  nabla^2 Phi = 4 pi G_eff rho  (observable closure)","Derived_Theorem_Obligation","\nabla^2\Phi = 4\pi G_\text{eff}\rho(\mathbf{x})",""
"Energy-to-Matter Logic","ID0024","TZP Vacuum Energy Density","TZP vacuum energy density rho_vac^T","Core_Definition","\rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \om","em_regularization_finite"
"Energy-to-Matter Logic","ID10164","Vacuum Energy Regularization: E_vacuum^naive","Naive (divergent) vacuum energy E_vac^naive","Core_Definition","E_{\text{vacuum}}^{\text{naive}} = \sum_{\vec{k}}\frac{\hbar\omega_{\vec{k}}}{2} = \sum_{\vec{k}}\frac{\hbar c |\vec{k}|","em_creation_threshold"
"Energy-to-Matter Logic","ID10165","Vacuum Energy Regularization: E_vacuum^reg","Regularized vacuum energy E_vac^reg","Derived_Theorem_Obligation","E_{\text{vacuum}}^{\text{reg}} = \sum_{\vec{k}}\frac{\hbar\omega_{\vec{k}}}{2}f\left(\frac{\omega_{\vec{k}}}{\Lambda}\ri","em_mass_energy_identity"
