id,title,lane,normalized_equation,proof_value,hol_contract,wolfram_check
ID0400,Cosmological Constant and Master Unification Equation,Hubble/Friedmann breathing,\rho_\Lambda = (\hbar c/R^4)(\Phi_0/\Phi_{\mathrm{total}}),Boundary scale check: finite positive radius and nonzero total flux make the density expression well-defined.,cosmological_density_contract,positive_cosmological_density
ID0024,TZP Vacuum Energy Density,Vacuum cutoff / matter creation,"\rho_{\mathrm{vac}}^T=u_T^{-4}\int_0^{\omega_{\mathrm{cut}}}\eta(\omega)\hbar\omega\,d\omega",Cutoff guard: explicitly separates the finite cutoff assumption from the integral carrier.,vacuum_cutoff_admissible,positive_vacuum_cutoff_integrand
ID0200,Alfven Wave Dispersion Relation,Gyromagnetic movement / spectral modes,"v_A=B/\sqrt{\mu_0\rho},\quad k_n=n/R","High-impact supernode: ties MHD speed, radial quantization, and gyro dispersion into one reusable carrier.",alfven_mode_contract,alfven_speed_positive_domain
ID0020,Trawinistic Winding Number,Holonomy / winding,"w=(2\pi)^{-1}\oint_\Gamma\nabla\theta\cdot d\ell,\quad w\in\tfrac12\mathbb Z",Topological edge case: makes half-integer winding an explicit carrier instead of loose prose.,half_integer_winding_contract,half_integer_winding_examples
ID0212,Gyromagnetic Bessel Interference Operator,Bessel bridge / gyromagnetic coupling,"B(r,\theta)=\sum_{n=0}^{\infty}J_{n+1/2}(kr)e^{in\theta}",Connects the Bessel spectrum directly to the gyromagnetic field carrier.,bessel_gyro_product_contract,half_order_bessel_zero
ID0335,Gravitational Emergence Modification to Einstein Equations,Einstein recovery,"G_{\mu\nu}+\Lambda g_{\mu\nu}=8\pi Gc^{-4}T_{\mu\nu}+\Phi^{TZP}_{\mu\nu},\quad \Phi^{TZP}_{\mu\nu}\to0",Recovery guardrail: the correction term vanishes in the far-field limit.,einstein_recovery_residual_zero,einstein_residual_zero
ID0388,Helicity Cascade Operator / Friedmann Model,Hubble/Friedmann breathing,H^2(a)=H_0^2(\Omega_m a^{-3}+\Omega_r a^{-4}+\Omega_k a^{-2}+\Omega_\Lambda),"Parameter scaffold for Hubble breathing, CMB/BAO/SN distance checks, and w0-wa extensions.",friedmann_component_contract,friedmann_positive_components
ID1816,Matter Is the Memory of Space,Poisson closure,\nabla^2\Phi=4\pi G_{\mathrm{eff}}\rho(x),Shared terminal node for gravity and matter-creation papers.,poisson_residual_zero,poisson_residual_zero
ID9513,Synchronization: Kuramoto Networks and Phase Coherence,Phase locking resonance,K=|\omega_1-\omega_2|,Sharp capture threshold for resonance locking and orbital synchronization.,kuramoto_threshold_contract,kuramoto_threshold_exact
ID2988,Magnetic Helicity Integral,Gyromagnetic movement / topology,"\mathcal H_M=\int_V A\cdot B\,d^3x",MHD/topological invariant carrier for movement and helicity conservation.,helicity_integral_contract,helicity_dot_product_sample
ID3290,Helmholtz Boundary Pressure Relation,Boundary spectral stress test,"\nabla^2p+k^2p=0,\quad p|_{\partial V}=f(\theta,\phi,t)",Boundary-condition stress test for spectral enclosure claims.,helmholtz_residual_zero,helmholtz_residual_zero
ID3330,Spherical Harmonic Phase Angle Relation,Hyperspherical projection,"Y_\ell^m(\theta,\phi)=N_{\ell m}P_\ell^m(\cos\theta)e^{im\phi}",Angular eigenmode carrier for projection from S3/S2 into radial spectra.,spherical_mode_factor_contract,spherical_harmonic_normalization_sample
ID0040,Universality of Elsasser Criticality,Gyromagnetic movement / MHD,"\Lambda=B^2/(\rho\mu\Omega^2),\quad \Lambda_{\mathrm{crit}}\approx1",Criticality edge case for magnetic--rotational equipartition.,elsasser_contract,elsasser_critical_sample
ID0188,Pressure Mechanism for Matter Creation,Matter creation threshold,P_{\mathrm{vac}}\ge P_{\mathrm{crit}}\Rightarrow \rho_{\mathrm{matter}}\uparrow,Threshold carrier for matter-creation claims.,pressure_threshold_contract,pressure_threshold_boolean
ID3435,Rescued Ratio Gate,Exact ratio / threshold,B(\chi)=\Delta\phi(\chi)/\phi_c=33.34^\circ/30^\circ\approx10/9>1,Rescued cleanup row: a compact exact-ratio gate that is easy to certify.,ratio_gate_contract,ratio_gate_gt_one
ID6515,Compact Analytic Model: Wave Modes,Spherical modes,"\Psi_{\rm wave}=\sum_{\ell\ge2}\sum_{m=-\ell}^{\ell}A_{\ell m}Y_\ell^m(\theta,\lambda)e^{i\omega_{\ell m}t}",Rescued mode-sum carrier for the enclosure projection lane.,finite_mode_sum_contract,finite_mode_count_sample
ID1285,Zero-Point Fluctuations,Vacuum cutoff,"\langle\phi^2\rangle=\int_0^{\omega_{\mathrm{cut}}}\frac{\hbar}{2\omega}\eta(\omega)d\omega,\quad \omega_{\mathrm{cut}}<\infty",Rescued cutoff equation that turns divergence risk into an explicit assumption.,finite_cutoff_guard,finite_cutoff_integral_sample
ID1507,Field + Mechanical Helicity Conservation,Conservation law,\frac{d}{dt}(H_{\mathrm{field}}+H_{\mathrm{mech}})=0,Rescued conservation guardrail for gyromagnetic motion.,helicity_sum_conservation_contract,constant_sum_derivative_zero
ID1954,KK Massive Field,Kaluza-Klein spectral edge case,(\Box_{(4)}+n^2/R_{KK}^2)\phi_n=0,Rescued KK spectral residual for higher-dimensional mode tests.,kk_massive_residual_zero,kk_residual_zero
ID5228,Relocated Density Laplacian Operator,Poisson closure rescue,"\rho=m_0n,\quad \nabla^2\Phi=4\pi G_{\rm eff}\rho",Rescued density-to-Poisson closure bridge.,density_poisson_contract,density_poisson_sample
