"pillar","id","role","obligation_role","title","canonical_equation"
"1 Cosmic acoustics","ID7732","Angular eigenmodes Y_lm(θ,φ)","Core_Definition","How This Ties into Your TZPQVS Superconducting Spherical Enclosure + Cymatics Id (1)","Y_{\ell m}(\theta,\phi)"
"1 Cosmic acoustics","ID7733","Radial standing waves j_l(kr)","Core_Definition","How This Ties into Your TZPQVS Superconducting Spherical Enclosure + Cymatics Id (1)","j_\ell(kr)"
"1 Cosmic acoustics","ID6819","S^3 hypersphere eigenmodes","Core_Definition","S³ (Hypersphere) Eigenmodes — Discreteness, Global Interference, and Why S³ S: Y_ell^m","Y_\ell^m"
"1 Cosmic acoustics","ID7257","BAO standing wave δ_b = A j0(k r_s)","Derived_Theorem_Obligation","Begin with BAO as the Primordial Standing Wave Field: δ_b(r,t)","\delta_b(\vec{r},t) = A\, j_0(k r_s)\, T(k)\, D(t)"
"1 Cosmic acoustics","ID7259","Sound horizon r_s","Core_Axiom","Begin with BAO as the Primordial Standing Wave Field: r_s","r_s"
"1 Cosmic acoustics","ID7177","Cosmic-web spectrum P(k)=P_prim T^2","Derived_Theorem_Obligation","BAO Modes and Freezing (Linear Perturbation Sketch): P(k): P(k) = P_rm Prim(k) T^2(k)","P(k) = P_{\rm prim}(k)\,T^2(k),"
"1 Cosmic acoustics","ID7207","Filament inflow Σ(R,φ,t)","Derived_Theorem_Obligation","Connecting BAO → Filament Inflow → Disk Mode Seeding: Σ(R,φ,t)","\Sigma(R,\phi,t) = \sum_{m,k} A_{m,k}(t) \, e^{i(m\phi + kR - \omega_{m,k} t)}."
"2 Ripple projection","ID0230","Bessel ripple Ψ=Ψ0+ε j0(kr)cos(ωt)","Core_Definition","Bessel Interference Pattern of Emergent Matter","\Psi(r,t)=\Psi_0+\varepsilon\,j_0(k r)\cos(\omega t) || k r_1 \approx 2.405"
"2 Ripple projection","ID0256","Harmonic ladder f_n = n f_1","Derived_Theorem_Obligation","Dimensional Reduction and Holography","f_{n}=n f_{1},\quad n\in\mathbb{Z}_{>0} || \omega^{2} = k^{2} v_{\mathrm{A}}^{2}\left[1 + \left(\frac{\omega_{\mathrm{gyro}}}{\omega}\right)^{2}\right]"
"2 Ripple projection","ID6583","Scale-invariant ripple ratio","Core_Axiom","Why Use \(32/27\) and How to Make It Fractal: 1.1851851852ldots","1.1851851852\ldots = 32/27"
