priority_score,semantic_kind,title,domain_family,source_file,line_number,extraction_method,block_summary,status
12,Theorem,Parker-GW Resonance Condition,gyromagnetic_gravity,latext.txt,100,latex_environment,\begin{theorem}[Parker-GW Resonance Condition] The coupling between solar wind magnetic field $\Psi_{\text{solar}}$ and gravitational wave strain $h_{\mu\nu}$ exhibits resonant amplification when: \begin{equation} \nabla^2 h_{\mu\nu} \cdot \Psi_{\text{solar}} = \lambda_n \Psi_{\text{solar}} \end{equation} where $\lambda_n$ are eigenvalues satisfying the helical boundary conditions: \begin{equation} \lambda_n = -\left,theorem_semantic_staged
12,Theorem,Modulation Signatures,gyromagnetic_gravity,latext.txt,190,latex_environment,"\begin{theorem}[Modulation Signatures] The helical coupling predicts observable modulations in gravitational wave signals: \begin{enumerate} \item \textbf{Amplitude Modulation}: \begin{equation} \delta A_{\text{GW}} = \epsilon \left|\int \Psi_{\text{solar}} \cdot h_{\mu\nu} \, d^3x\right| \sim 10^{-24} \text{ strain} \end{equation} \item \textbf{Phase Shift}: \begin{equation} \Delta\phi_{\text{GW}} = \frac{2\pi n_{\t",theorem_semantic_staged
12,Theorem,Elsasser Universality,gyromagnetic_gravity,univision.txt,125,latex_environment,\begin{theorem}[Elsasser Universality] All self-gravitating rotating bodies with active magnetic fields converge to: \begin{equation} \Lambda := \frac{B^2}{\mu_0 \rho \eta \omega} \to 1 \pm 0.5 \end{equation} across systems differing by $10^{47}$ orders of magnitude in scale. \end{theorem},theorem_semantic_staged
12,Theorem,Topological Field Constraint,gyromagnetic_gravity,univision.txt,193,latex_environment,"\begin{theorem}[Topological Field Constraint] Two opposing magnetic dipoles with moments $\vec{\mu}_1 = -\vec{\mu}_2 = \mu\hat{z}$ at separation $d$ exhibit interaction energy: \begin{equation} U(d) = \frac{3\mu_0\mu^2}{2\pi d^4} + U_{\text{constraint}}(d) \end{equation} As $d \to 0$: $U \to \infty$, preventing annihilation and enforcing toroidal flux topology. \end{theorem}",theorem_semantic_staged
11,Theorem,TZP Vacuum Divergence,quantum_entanglement,univision.txt,103,latex_environment,"\begin{theorem}[TZP Vacuum Divergence] At spatial position $r \to r_{\TZP}$, the vacuum energy density satisfies: \begin{equation} \rho_{\text{vac}}(r,t) = \sum_{n=0}^{\infty} \sum_{i=1}^{N_{\TZP}} (-1)^n \Gamma\left(n+\tfrac{1}{2}\right) K_n\left(\frac{|r-r_{\TZP}^{(i)}|}{\xi}\right) e^{in(\omega_0 t + \theta_i)} \end{equation} where $K_n$ denotes modified Bessel functions of the second kind, $\xi$ is coherence leng",theorem_semantic_staged
11,Corollary,Topological Locking,gyromagnetic_gravity,univision.txt,211,latex_environment,"\begin{corollary}[Topological Locking] Magnetic flux through any closed surface satisfies: \begin{equation} \Phi = n\Phi_0, \quad \Phi_0 = \frac{h}{2e} \approx 2.07 \times 10^{-15} \text{ Wb} \end{equation} \end{corollary}",theorem_semantic_staged
11,Theorem,Universal Criticality,quantum_entanglement,univision.txt,225,latex_environment,"\begin{theorem}[Universal Criticality] Quantum decoherence cascades, neural avalanches, and TZP information flow exhibit identical scaling: \begin{equation} P(s) \sim s^{-\tau} e^{-s/s_c}, \quad \tau = \frac{3}{2} \end{equation} \end{theorem}",theorem_semantic_staged
11,Theorem,Discrete Dark Matter Distribution,quantum_entanglement,univision.txt,267,latex_environment,"\begin{theorem}[Discrete Dark Matter Distribution] In $S^3$ topology with radius $R_U$, black hole accumulation at discrete positions yields apparent dark matter density: \begin{equation} \rho_{\text{dark}}^{\text{apparent}} = \frac{c^2}{4\pi GR_U^2} \Delta_{S^3}\Phi_{\text{dark}} \end{equation} where $\Phi_{\text{dark}}(\chi_{\text{obs}}) = -G\sum_i \frac{M_i}{R_U\sin(|\chi_{\text{obs}} - \chi_i|)}$ \end{theorem}",theorem_semantic_staged
10,Theorem,CMBEmergenceTheorem,toe_unification,UnificationComparison.txt,999,wolfram_named_block,"CMBEmergenceTheorem := Module[ {ð”Š_TZP, â„‚_l^m, ð’«_k, Îž_correlation, Î˜_anisotropy}, (* §1: CATEGORICAL FRAMEWORK FOR DISTRIBUTED EMERGENCE *) ð”Š_TZP = HigherTopos[ Objects → {TZP_i : i âˆˆ IndexSet[GalacticNuclei]}, Morphisms → SheaveCohomology[ H^n(â„³_cosmos, ð’ª_TZP) â‰… âŠ•_i H^n(B_Îµ(TZP_i), ð’ª_holomorphic) ], Gluing → ÄŒechDescent[ Cocycle[{U_i âˆ© U_j}] = exp(2ρ€iâˆ®_Î³ A_TZP) ] ]; (* §2: QUANTUM V",wolfram_theorem_block_staged
10,Definition,Helical Winding Number,gyromagnetic_gravity,latext.txt,139,latex_environment,\begin{definition}[Helical Winding Number] The topological winding number of the coupled Parker-GW system: \begin{equation} W_{\text{helical}} = \frac{1}{2\pi} \oint_{\mathcal{C}} d\Phi_{\text{Parker}} = \frac{r - r_0}{2\pi v_{sw}/\Omega_{\odot}} \end{equation} characterizes the number of spiral rotations per radial distance unit. \end{definition},theorem_semantic_staged
