id,title,previous_status,rescue_status,message,rescue_class,rescue_wolfram_candidate,canonical_equation,previous_wolfram_candidate
ID10873,Phone2 Category Type Theory Morphisms Cobordisms M 1 M 2 W D+1 W M 1 M 2,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Phone2Relation[Morphisms, ""Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + MBar2]""]","Morphisms → Cobordisms[(M_1, M_2) ↦ W^{d+1}: ∂W = M_1 ⊔ M̄_2]","Morphisms -> Cobordisms[(M$1, M$2) -> W^{d+1}: dW == M$1 + M̄_2]"
ID10875,Phone2 Category Type Theory SheafCondition F Presheaf F U Lim V Cover U F V,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Phone2Relation[SheafCondition, "": Presheaf, F(U) == lim_{V in Cover(U)} F(V)""]","SheafCondition → ∀F: Presheaf, F(U) ≅ lim_{V∈Cover(U)} F(V)","SheafCondition -> : Presheaf, F(U) == lim_{V∈Cover(U)} F(V)"
ID10878,Phone2 Category Type Theory P M T - M 0 Λ 2 Exp -λ / 2 Sum C I I,wolfram_parse_error,wolfram_symbolic_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,equation_candidate,"Phone2EquationCarrier[""ID10878"", <|""canonical"" -> ""P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],"", ""previousCandidate"" -> ""P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]"", ""rescueClass"" -> ""equation_candidate""|>]","P[|M_T - M_0| > λ] <= 2*Exp[-λ²/(2*Sum[c_i², {i}])],","P[|M$T - M$0| > lambda] <= 2*Exp[-lambda^2/(2*Sum[c$i^2, {i}])]"
ID10894,Phone2 Category Type Theory Init I Threads Queue I,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,Init == in Threads: queue[i] = EmptyQueue[],"Init == ∀ i ∈ Threads: queue[i] = ⟨⟩,",Init == ∈ Threads: queue[i] = ⟨⟩
ID10895,Phone2 Category Type Theory Next I J Threads Task Tasks,wolfram_parse_error,wolfram_fragment_carrier_verified,carrier parsed under HoldComplete; not a complete semantic equation proof,fragment_carrier,"Phone2EquationCarrier[""ID10895"", <|""canonical"" -> ""Next == ∃ i,j ∈ Threads, task ∈ Tasks:"", ""previousCandidate"" -> ""Next == j ∈ Threads, task ∈ Tasks:"", ""rescueClass"" -> ""fragment_carrier""|>]","Next == ∃ i,j ∈ Threads, task ∈ Tasks:","Next == j ∈ Threads, task ∈ Tasks:"
ID10901,Phone2 Category Type Theory Objects Thread I I 1,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"Rule[Objects, Phone2Expression[""{Thread[i] | i in {1""]]",Objects → {Thread[i] | i ∈ {1,Objects -> {Thread[i] | i ∈ {1
ID10903,Phone2 Category Type Theory F T C Cores T T T C,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,f[T] == {c in Cores | in T: t SubsetEqual c},"f[T] = {c ∈ Cores | ∃t ∈ T: t ⊆ c},",f[T] == {c ∈ Cores | ∈ T: t ⊆ c}
ID10907,Phone2 Category Type Theory InterferenceFreedom I J Statement S J In C J,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,fragment_carrier,"SetDelayed[InterferenceFreedom, Phone2Predicate[""!= j, s$j in C$j:""]]","InterferenceFreedom := ∀ i ≠ j, ∀ statement s_j in C_j:","InterferenceFreedom := ≠ j, s$j in C$j:"
ID10954,Phone2 Category Type Theory IntraSocket Latency 10ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[IntraSocket, Phone2Expression[""Latency[Quantity[10, \""Nanoseconds\""]]""]]","IntraSocket → Latency[~10ns],",IntraSocket -> Latency[~10ns]
ID10955,Phone2 Category Type Theory InterSocket Latency 100ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[InterSocket, Phone2Expression[""Latency[Quantity[100, \""Nanoseconds\""]]""]]","InterSocket → Latency[~100ns],",InterSocket -> Latency[~100ns]
ID10956,Phone2 Category Type Theory RemoteMemory Latency 300ns,wolfram_parse_error,wolfram_rescue_equation_parse_verified,rescued equation candidate parsed under HoldComplete,equation_candidate,"Rule[RemoteMemory, Phone2Expression[""Latency[Quantity[300, \""Nanoseconds\""]]""]]",RemoteMemory → Latency[~300ns],RemoteMemory -> Latency[~300ns]
