id,title,status,message,rescue_class,wolfram_candidate,canonical_equation
ID11122,Phone2 Parker-GW Resonance Condition — Nabla 2 H Mu Nu Cdot Psi Text Solar Lambda N Psi Text,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,abla^2 h_{mu u} * Psi_{solar} == lambdan Psi_{solar},\nabla^2 h_{\mu\nu} \cdot \Psi_{\text{solar}} = \lambda_n \Psi_{\text{solar}}
ID11123,Phone2 Parker-GW Resonance Condition — Lambda N - Left Frac N Pi L Right 2 + I Frac Omega Tex,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,lambdan == -((nPi)/(L))^2 + ifrac{Omega_{sun}}{v_{sw}},\lambda_n = -\left(\frac{n\pi}{L}\right)^2 + i\frac{\Omega_{\text{sun}}}{v_{sw}}
ID11124,Phone2 Modulation Signatures — Delta A Text Gw Epsilon Left Int Psi Text Solar Cdot H,wolfram_gold_anchor_symbolic_carrier_verified,fallback carrier parsed under HoldComplete,equation_candidate,"Phone2EquationCarrier[""ID11124"", <|""canonical"" -> ""\\delta A_{\\text{GW}} = \\epsilon \\left|\\int \\Psi_{\\text{solar}} \\cdot h_{\\mu\\nu} \\, d^3x\\right| \\sim 10^{-24} \\text{ strain}"", ""rescueClass"" -> ""equation_candidate""|>]","\delta A_{\text{GW}} = \epsilon \left|\int \Psi_{\text{solar}} \cdot h_{\mu\nu} \, d^3x\right| \sim 10^{-24} \text{ strain}"
ID11125,Phone2 Modulation Signatures — Delta Phi Text Gw Frac 2 Pi N Text Wind C Int Text Pat,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,Deltaphi_{GW} == frac{2Pi n_{wind}}{c} Integrate_{path} B_{solar} * dl sim 10^{-6} rad,\Delta\phi_{\text{GW}} = \frac{2\pi n_{\text{wind}}}{c} \int_{\text{path}} B_{\text{solar}} \cdot dl \sim 10^{-6} \text{ rad}
ID11126,Phone2 Modulation Signatures — F Text Sideband F Text Gw Pm N Omega Odot / 2 Pi Quad,wolfram_gold_anchor_symbolic_carrier_verified,fallback carrier parsed under HoldComplete,equation_candidate,"Phone2EquationCarrier[""ID11126"", <|""canonical"" -> ""f_{\\text{sideband}} = f_{\\text{GW}} \\pm n\\Omega_{\\odot}/(2\\pi), \\quad n \\in \\mathbb{Z}"", ""rescueClass"" -> ""equation_candidate""|>]","f_{\text{sideband}} = f_{\text{GW}} \pm n\Omega_{\odot}/(2\pi), \quad n \in \mathbb{Z}"
ID11127,Phone2 Modulation Signatures — Computationalcomplexity Module,wolfram_gold_anchor_fragment_carrier_verified,primary candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID11127"", <|""canonical"" -> ""ComputationalComplexity := Module["", ""rescueClass"" -> ""hard_fragment""|>]",ComputationalComplexity := Module[
ID11128,Phone2 Modulation Signatures — Spatialgrid N 3,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,spatialGrid == N^3,spatialGrid = N^3
ID11129,Phone2 Modulation Signatures — Temporalsteps T/Dt,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,temporalSteps == T/dt,temporalSteps = T/dt
ID11130,Phone2 Modulation Signatures — Spectralmodes Product 2 L I + 1 I 1 Maxl,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,"spectralModes == Product[2*l[i] + 1, {i, 1, maxL}]","spectralModes = Product[2*l[i] + 1, {i, 1, maxL}]"
ID11131,Phone2 Elsasser Universality — Lambda Frac B 2 Mu 0 Rho Eta Omega To 1 Pm 0,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,Lambda := (B^2)/(mu0 rho eta omega) -> 1 pm 0,\Lambda := \frac{B^2}{\mu_0 \rho \eta \omega} \to 1 \pm 0
ID11132,Phone2 Elsasser Universality — Elsasserconvergence System Module,wolfram_gold_anchor_fragment_carrier_verified,primary candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID11132"", <|""canonical"" -> ""ElsasserConvergence[system_] := Module["", ""rescueClass"" -> ""hard_fragment""|>]",ElsasserConvergence[system_] := Module[
ID11133,Phone2 Elsasser Universality — Lambda Function Field Density Viscosity Rotation,wolfram_gold_anchor_fragment_carrier_verified,primary candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID11133"", <|""canonical"" -> ""Lambda = Function[{field, density, viscosity, rotation},"", ""rescueClass"" -> ""hard_fragment""|>]","Lambda = Function[{field, density, viscosity, rotation},"
ID11134,Phone2 Topological Field Constraint — U D Frac 3 Mu 0 Mu 2 2 Pi D 4 + U Text Constraint D,wolfram_gold_anchor_equation_parse_verified,primary candidate parsed under HoldComplete,equation_candidate,U(d) == (3mu_0mu^2)/(2Pi d^4) + U_{constraint}(d),U(d) = \frac{3\mu_0\mu^2}{2\pi d^4} + U_{\text{constraint}}(d)
