id,title,previous_status,rescue_status,message,rescue_class,rescue_wolfram_candidate,canonical_equation
ID10876,Phone2 Category Type Theory F 2 Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10876"", <|""canonical"" -> ""F = 2 Sum["", ""rescueClass"" -> ""hard_fragment""|>]",F = 2 Sum[
ID10879,Phone2 Category Type Theory 1/2 Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10879"", <|""canonical"" -> ""1/2 Sum["", ""rescueClass"" -> ""hard_fragment""|>]",1/2 Sum[
ID10881,Phone2 Category Type Theory G/ Τ -2 ricciTensor G +,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10881"", <|""canonical"" -> ""∂g/∂τ = -2 * ricciTensor[g] +"", ""rescueClass"" -> ""hard_fragment""|>]",∂g/∂τ = -2 * ricciTensor[g] +
ID10882,Phone2 Category Type Theory /2 Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10882"", <|""canonical"" -> ""ħ/2 Sum["", ""rescueClass"" -> ""hard_fragment""|>]",ħ/2 Sum[
ID10887,Phone2 Category Type Theory Path Integrate,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10887"", <|""canonical"" -> ""𝒮[path_] := Integrate["", ""rescueClass"" -> ""hard_fragment""|>]",𝒮[path_] := Integrate[
ID10888,Phone2 Category Type Theory K Xf X T Path Exp I Path /,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10888"", <|""canonical"" -> ""K[xf, x₀, T] = ∫𝒟[path] Exp[I 𝒮[path]/ħ] *"", ""rescueClass"" -> ""hard_fragment""|>]","K[xf, x₀, T] = ∫𝒟[path] Exp[I 𝒮[path]/ħ] *"
ID10889,Phone2 Category Type Theory Ψ Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10889"", <|""canonical"" -> ""ℒ[ψ] = Sum["", ""rescueClass"" -> ""hard_fragment""|>]",ℒ[ψ] = Sum[
ID10890,Phone2 Category Type Theory Form Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10890"", <|""canonical"" -> ""form = Sum["", ""rescueClass"" -> ""hard_fragment""|>]",form = Sum[
ID10891,Phone2 Category Type Theory EulerCharacteristic Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10891"", <|""canonical"" -> ""\""EulerCharacteristic\"" → Sum["", ""rescueClass"" -> ""hard_fragment""|>]","""EulerCharacteristic"" → Sum["
ID10892,Phone2 Category Type Theory MeasurementEntropy -Sum,wolfram_needs_cleanup,wolfram_cleanup_fragment_carrier_verified,cleanup candidate parsed under HoldComplete,fragment_carrier,"Phone2EquationCarrier[""ID10892"", <|""canonical"" -> ""\""MeasurementEntropy\"" → -Sum["", ""rescueClass"" -> ""hard_fragment""|>]","""MeasurementEntropy"" → -Sum["
