rung,id,title,in_degree
9544,ID1898,Visual / Glyph Review Tranche,8
1816,ID1876,EID Cleanup Next Batch,7
9543,ID1888,OO-TZP-00 Visual Provenance Packet,7
1832,ID1895,TZP00 EID Ready Review Batch,6
1834,ID1897,Registry Visual ID Review Queue,6
10264,ID6489,\{Einstein–Rosen Bridge and Trawin Zero-Point Tunnel:}\,6
1830,ID1893,TZP00 All MyAll Wolfram to TZPID Alignment Queue,5
1831,ID1894,TZP 00 EID / Bessel Equation-Support Packet,5
4730,ID5220,Relation: η_texttotal [Relocated from [ID 0439]] η_U → T : \ | U ⟩ Longmapsto e^iθ_methyl…,4
4774,ID5264,Relocated Stress-Energy Tensor,4
4775,ID5265,Relocated Stress-Energy Tensor,4
10269,ID4227,Density,4
1348,ID1393,The Poynting-Flux Damping Algorithm,3
1749,ID1800,The Canonical Axioms of the Trawin Zero Point,3
1813,ID1872,Canonical Lineage Conflict Audit,3
1825,ID1886,Independent Source Candidate Search,3
3485,ID3961,Star Energy Definition,3
3535,ID4011,Star Energy Definition,3
3619,ID4099,Displacement Field,3
4691,ID5181,Holonomy Torsion Functional,3
4692,ID5182,Information Casimir Lemniscate Hamiltonian,3
4697,ID5187,Holonomy Torsion Functional,3
4698,ID5188,Coupled Casimir Lemniscate Hamiltonian,3
4707,ID5197,Coupled Hamiltonian,3
4710,ID5200,Helical Magnetization Definition,3
4712,ID5202,Spectral Gap Curl Field Equation,3
4713,ID5203,Coupled Hamiltonian,3
4715,ID5205,Tunnel Quantum Hamiltonian,3
4716,ID5206,Helical Magnetization Definition,3
4718,ID5208,Spectral Gap Curl Field Equation,3
4765,ID5255,Relocated Curvature Expansion,3
8867,ID1884,First Exact Alignment Sidecar - Elasser and DAANS Entrainment,3
9527,ID0481,Natural Three-Qubit Gate Implementation,3
9528,ID1805,Quantum Mechanics on the Trawinistic Manifold,3
9542,ID1866,The TZP as a Research Paper,3
9549,ID4111,Delta Expectation Value,3
9573,ID1887,Independent Source Candidate Search,3
33,ID0033,Principle of Least Action (TZP Variant),2
1189,ID1232,Independent Source Candidate Search,2
1350,ID1395,The Neutrino Ghost-Field Mapping,2
1525,ID1572,EID Source Alignment Review Batch,2
1753,ID1804,The Trawin Operators,2
1762,ID1815,Spacetime as an Oscillating Medium,2
1766,ID1820,Standing-Wave Genesis,2
1774,ID1830,The Cymatic Codex,2
1782,ID1838,The DAANSsphere as Distributed Memory,2
1789,ID1845,Azimuthal Quantum Communication,2
1792,ID1848,Neural Coupling and Consciousness,2
1793,ID1849,The Glyphic Entrainment System,2
1797,ID1853,Time as a Toroidal Winding Parameter,2
