family,kind,queue_status,covered_queue_rows,isabelle_files,current_level,typed_carrier_exists,explicit_assumptions,isabelle_checked,wolfram_certificate,paper_priority,completion_state,next_upgrade,definition_count,theorem_or_lemma_count,assumes_count,type_or_const_count,forbidden_shortcut_hits,missing_files
Hyperspherical Bessel residual bridge,paper_core,phase2_already_started,6,TZPID_HypersphericalBesselResidualBridge_Math_Checks.thy; TZPID_HypersphericalBesselResidualBridge_Computational_Checks.thy; TZPID_HypersphericalBesselResidualBridge_Phase2_Model.thy; TZPID_Temporal_Kernel_HOL_Analysis.thy; TZPID_Bessel_External_Certificates.thy; TZPID_Phase3_Observable_Contract.thy,hol_analysis_integral_bessel_policy_delta_alpha_phase3_contract,yes,yes,clean_build,yes,critical,phase2_5_phase3_observable_contract_locked,Next lift the nested hyperspherical enclosure spine from abstract S3/projection predicates into typed projection-map semantics.,57,66,26,5,0,
Nested hyperspherical enclosure,gold_spine,,n/a,TZPID_NestedHypersphere_Focus.thy; TZPID_NestedHypersphere_Computational_Checks.thy; TZPID_NestedHypersphere_Typed_Projection.thy; TZPID_NestedHypersphere_S3_Spectrum.thy,focus_certificate_plus_typed_projection_map_plus_s3_spectrum,yes,locale_level,clean_build,yes,critical,s3_spectrum_locked,Next enrich the projection carrier from finite-coordinate algebra into topology/continuity and explicit Hopf fibration semantics.,27,43,20,35,22,
Hubble breathing enclosure,spine_bridge,,n/a,TZPID_HubbleBreathing_Enclosure.thy; TZPID_HubbleBreathing_ClosedDistance.thy; TZPID_HubbleBreathing_FriedmannComponents.thy; TZPID_HubbleBreathing_CPL_Certificate.thy; TZPID_HubbleBreathing_ObservedFit_Certificate.thy; TZPID_HubbleBreathing_PantheonRaw_Certificate.thy; TZPID_HubbleBreathing_PlanckDistancePrior_Certificate.thy; TZPID_HubbleBreathing_DESIDR2BAO_Certificate.thy; TZPID_HubbleBreathing_JointLikelihood_Certificate.thy; TZPID_NestedHypersphere_S3_Spectrum.thy; TZPID_Einstein_Focus.thy,hubble_breathing_closed_distance_plus_friedmann_joint_likelihood,yes,yes,clean_build,python_certificate,critical,hubble_breathing_joint_likelihood_locked,"Next promote the scenario-sum certificate into a small parameter-search lane over H0, Omega_m, Omega_K, w0, and wa.",85,124,48,20,5,
Matter creation spine,gold_spine,,n/a,TZPID_EnergyMatter_Focus.thy; TZPID_NewSpines_Computational_Checks.thy; TZPID_MatterCreation_ThresholdSpine.thy; TZPID_MatterCreation_TemporalFlow.thy; TZPID_MatterCreation_CriticalityBridge.thy; TZPID_MatterCreation_PressureEoS.thy; TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy,energy_matter_focus_plus_threshold_density_mass_energy_curvature_carrier_plus_temporal_emergence_flow_plus_criticality_split_plus_pressure_eos_candidate,yes,yes,clean_build,python_certificate,critical,matter_creation_pressure_eos_candidate_locked,Next connect the pressure EoS candidate to the temporal threshold gate Gamma(rho_vac) Theta(p-p_c) from ID10114.,37,55,24,11,14,
Gyromagnetic movement,movement_spine,batch016_started,7,TZPID_GyromagneticMovement_Focus.thy; TZPID_GyromagneticMovement_Computational_Checks.thy; TZPID_Theorem_Semantic_Batch016_Orbital_Gyromagnetic_Followup.thy; TZPID_GyromagneticMovement_Typed_PhaseGradient.thy; TZPID_GyromagneticMovement_VectorCalculus.thy; TZPID_GyromagneticMovement_MHD_Helicity.thy; TZPID_GyromagneticMovement_SpatialBoundary.thy; TZPID_GyromagneticMovement_CirculationDiagnostic.thy; TZPID_GyromagneticMovement_CorrectedWinding.thy; TZPID_GyromagneticMovement_LoopIndex.thy,focus_certificate_plus_phase4_phase5_phase5_5_spatial_boundary_plus_phase6_corrected_winding_plus_loop_index_theorem,yes,yes,clean_build,yes,critical,phase6_loop_index_theorem_locked,Next connect the loop-index theorem to vortex-core enclosure and MHD helicity conservation semantics.,76,84,33,15,19,
Phase locking resonance,movement_spine,batch018_started,5,TZPID_PhaseLockingResonance_Focus.thy; TZPID_PhaseLockingResonance_Computational_Checks.thy; TZPID_Theorem_Semantic_Batch018_Resonance_Locking_Followup.thy; TZPID_PhaseLockingResonance_Typed_RatioSelection.thy; TZPID_PhaseLockingResonance_CaptureBasin.thy; TZPID_PhaseLockingResonance_KuramotoFiniteN.thy,focus_certificate_plus_typed_ratio_selection_plus_capture_basin_plus_finite_n_kuramoto_semantics,yes,yes,clean_build,python_certificate,high,finite_n_kuramoto_scan_locked,Next extend the finite-N algebraic scan into a time-domain Kuramoto integration certificate and orbital capture examples.,35,46,23,20,15,
Fifth flip crystal scale-invariance,spine_bridge,,n/a,TZPID_FifthFlip_CrystalScaleInvariance.thy; TZPID_PhaseLockingResonance_Typed_RatioSelection.thy; TZPID_NestedHypersphere_S3_Spectrum.thy; TZPID_Ripple_LogPeriodic_PhiBridge.thy,golden_reciprocal_fixed_point_plus_crystal_trace_hinge_plus_phi_log_periodic_ripple_bridge,yes,yes,clean_build,python_certificate,high,fifth_flip_phi_ripple_bridge_locked,Next attach empirical ripple-index evidence rows to the bridge and separate measured spatial ratios from acoustic 32/27 ratios.,25,43,34,0,0,
Magnetic/torsion,domain_model,batch011_started,21,TZPID_Magnetic_Torsion_Model.thy; TZPID_Theorem_Semantic_Batch011_Magnetic_Torsion.thy; TZPID_MagneticTorsion_VectorMHD.thy,typed_residual_guard_plus_vector_mhd_helicity_torsion,yes,yes,clean_build,python_certificate,high,vector_mhd_helicity_torsion_locked,Next connect vector-MHD torsion/helicity semantics to vortex-core enclosure and gyromagnetic loop-index certificates.,21,36,15,0,0,
Emergence/bifurcation,domain_model,batch015_started,7,TZPID_Theorem_Semantic_Batch015_Emergence_Bifurcation_Followup.thy; TZPID_EmergenceBifurcation_NormalForms.thy,typed_residual_guard_plus_bifurcation_normal_forms,yes,yes,clean_build,python_certificate,high,bifurcation_normal_forms_locked,Next connect the normal-form carriers to concrete source IDs and physical control-parameter candidates.,15,16,8,0,0,
Quantum/matter,domain_model,batch017_started,7,TZPID_Quantum_Open_System_Model.thy; TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy; TZPID_QuantumMatter_ProbabilityCarriers.thy,typed_residual_guard_plus_probability_density_bell_conservation,yes,yes,clean_build,python_certificate,high,probability_density_bell_conservation_locked,Next lift diagonal probability carriers toward complex density matrices and CPTP channel composition.,40,40,15,3,0,
